Epoch [1/20], Loss: 0.6231071352958679
Validation accuracy: 72.76785714285714 %
Epoch [2/20], Loss: 0.5968531966209412
Validation accuracy: 73.05484693877551 %
Epoch [3/20], Loss: 0.42040330171585083
Validation accuracy: 73.37372448979592 %
Epoch [4/20], Loss: 0.6033527255058289
Validation accuracy: 73.42155612244898 %
Epoch [5/20], Loss: 0.622902512550354
Validation accuracy: 73.58099489795919 %
Epoch [6/20], Loss: 0.5045109391212463
Validation accuracy: 73.77232142857143 %
Epoch [7/20], Loss: 0.4369822144508362
Validation accuracy: 73.74043367346938 %
Epoch [8/20], Loss: 0.49900349974632263
Validation accuracy: 73.03890306122449 %
Epoch [9/20], Loss: 0.5592966079711914
Validation accuracy: 72.13010204081633 %
Epoch [10/20], Loss: 0.7556962370872498
Validation accuracy: 72.46492346938776 %
Epoch [11/20], Loss: 0.5185664296150208
Validation accuracy: 71.07780612244898 %
Epoch [12/20], Loss: 0.6686267256736755
Validation accuracy: 72.40114795918367 %
Epoch [13/20], Loss: 0.3727973699569702
Validation accuracy: 71.73150510204081 %
Epoch [14/20], Loss: 0.4474441111087799
Validation accuracy: 71.25318877551021 %
Epoch [15/20], Loss: 0.4584599733352661
Validation accuracy: 69.40369897959184 %
Epoch [16/20], Loss: 0.5204190015792847
Validation accuracy: 68.94132653061224 %
Epoch [17/20], Loss: 0.2998129427433014
Validation accuracy: 68.06441326530613 %
Epoch [18/20], Loss: 0.514634370803833
Validation accuracy: 66.61352040816327 %
Epoch [19/20], Loss: 0.33424168825149536
Validation accuracy: 65.9438775510204 %
Epoch [20/20], Loss: 0.3546321988105774
Validation accuracy: 67.44260204081633 %
Test accuracy: 67.78065427159332 %
