Epoch [1/15], Loss: 0.701174795627594
Validation accuracy: 72.44897959183673 %
Epoch [2/15], Loss: 0.5233887434005737
Validation accuracy: 72.68813775510205 %
Epoch [3/15], Loss: 0.6333575248718262
Validation accuracy: 72.8954081632653 %
Epoch [4/15], Loss: 0.528020441532135
Validation accuracy: 72.25765306122449 %
Epoch [5/15], Loss: 0.6209583878517151
Validation accuracy: 73.07079081632654 %
Epoch [6/15], Loss: 0.6865155100822449
Validation accuracy: 73.34183673469387 %
Epoch [7/15], Loss: 0.412966251373291
Validation accuracy: 73.66071428571429 %
Epoch [8/15], Loss: 0.48242780566215515
Validation accuracy: 73.26211734693878 %
Epoch [9/15], Loss: 0.4722694158554077
Validation accuracy: 72.3373724489796 %
Epoch [10/15], Loss: 0.3454448878765106
Validation accuracy: 73.13456632653062 %
Epoch [11/15], Loss: 0.43782225251197815
Validation accuracy: 73.18239795918367 %
Epoch [12/15], Loss: 0.347013384103775
Validation accuracy: 73.58099489795919 %
Epoch [13/15], Loss: 0.4942294955253601
Validation accuracy: 72.9751275510204 %
Epoch [14/15], Loss: 0.5741587281227112
Validation accuracy: 73.27806122448979 %
Epoch [15/15], Loss: 0.6172059774398804
Validation accuracy: 72.8954081632653 %
Test accuracy: 72.15423236840041 %
